2.80.0.0,2.83.255.255,262144,29/04/10,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
5.43.0.0,5.43.63.255,16384,18/05/12,Vodafone Telecel, Comunicacoes Pessoais, SA
5.44.192.0,5.44.207.255,4096,24/05/12,AllTele LDA
5.158.0.0,5.158.63.255,16384,25/07/12,Vodafone Telecel, Comunicacoes Pessoais, SA
5.249.0.0,5.249.127.255,32768,13/09/12,Vodafone Telecel, Comunicacoes Pessoais, SA
31.22.128.0,31.22.255.255,32768,25/03/11,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
37.28.192.0,37.28.255.255,16384,02/01/12,Vodafone Telecel, Comunicacoes Pessoais, SA
37.189.0.0,37.189.255.255,65536,20/03/12,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
46.50.0.0,46.50.127.255,32768,14/07/10,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
46.189.128.0,46.189.255.255,32768,07/12/10,Vodafone Telecel, Comunicacoes Pessoais, SA
62.28.0.0,62.28.255.255,65536,08/06/06,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
62.48.128.0,62.48.191.255,16384,22/06/00,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
62.48.192.0,62.48.255.255,16384,09/08/02,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
83.223.224.0,83.223.255.255,8192,10/09/12,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
83.240.128.0,83.240.255.255,32768,17/03/04,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
84.18.224.0,84.18.255.255,8192,17/08/04,G9SA, Telecomunicacoes, S.A
84.23.192.0,84.23.223.255,8192,10/09/08,NOS Madeira Comunicacoes, S.A.
84.90.0.0,84.91.255.255,131072,12/05/04,Cabovisao, televisao por cabovisao, sa
85.88.128.0,85.88.159.255,8192,28/10/04,
85.138.0.0,85.139.255.255,131072,01/12/04,NOS COMUNICACOES, S.A.
85.240.0.0,85.247.255.255,524288,03/01/04,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
87.103.0.0,87.103.127.255,32768,19/10/05,Vodafone Telecel, Comunicacoes Pessoais, SA
87.196.0.0,87.196.255.255,65536,20/06/05,NOS COMUNICACOES, S.A.
88.157.0.0,88.157.255.255,65536,25/01/06,NOS COMUNICACOES, S.A.
88.210.64.0,88.210.127.255,16384,25/11/05,NOS COMUNICACOES, S.A.
88.214.128.0,88.214.191.255,16384,17/01/06,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
89.26.128.0,89.26.255.255,32768,12/06/06,ONITELECOM - INFOCOMUNICACOES, SA
89.109.64.0,89.109.127.255,16384,24/03/06,NOS Madeira Comunicacoes, S.A.
89.114.0.0,89.115.255.255,131072,10/04/06,Vodafone Telecel, Comunicacoes Pessoais, SA
89.152.0.0,89.155.255.255,262144,07/02/06,NOS COMUNICACOES, S.A.
89.180.0.0,89.181.255.255,131072,06/04/06,NOS COMUNICACOES, S.A.
89.214.0.0,89.214.255.255,65536,13/06/06,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
92.250.0.0,92.250.127.255,32768,20/11/07,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
93.102.0.0,93.102.255.255,65536,10/03/08,NOS COMUNICACOES, S.A.
93.108.0.0,93.108.255.255,65536,09/04/08,Vodafone Telecel, Comunicacoes Pessoais, SA
94.46.16.0,94.46.31.255,4096,03/06/08,ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA
94.46.64.0,94.46.95.255,8192,03/06/08,NFSi Telecom, Lda.
94.46.160.0,94.46.175.255,4096,03/06/08,ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA
94.46.192.0,94.46.223.255,8192,03/06/08,NFSi Telecom, Lda.
94.46.224.0,94.46.239.255,4096,03/06/08,NFSi Telecom, Lda.
94.60.0.0,94.63.255.255,262144,23/06/08,Vodafone Telecel, Comunicacoes Pessoais, SA
94.132.0.0,94.133.255.255,131072,14/07/08,NOS COMUNICACOES, S.A.
95.69.0.0,95.69.127.255,32768,14/11/08,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
95.92.0.0,95.95.255.255,262144,15/12/08,NOS COMUNICACOES, S.A.
95.136.0.0,95.136.127.255,32768,13/02/09,Vodafone Telecel, Comunicacoes Pessoais, SA
95.172.160.0,95.172.191.255,8192,27/02/09,NOS Madeira Comunicacoes, S.A.
109.48.0.0,109.51.255.255,262144,19/10/09,NOS COMUNICACOES, S.A.
128.65.224.0,128.65.255.255,8192,07/10/11,NOS ACORES COMUNICACOES, S.A.
139.83.0.0,139.83.255.255,65536,08/03/91,
144.64.0.0,144.64.255.255,65536,11/12/95,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
146.193.0.0,146.193.255.255,65536,28/02/91,
158.162.0.0,158.162.255.255,65536,18/03/92,
159.255.48.0,159.255.63.255,4096,26/09/11,NOS Madeira Comunicacoes, S.A.
176.78.0.0,176.79.255.255,131072,23/06/11,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
178.166.0.0,178.166.127.255,32768,05/03/10,Vodafone Telecel, Comunicacoes Pessoais, SA
188.37.0.0,188.37.255.255,65536,07/01/10,Vodafone Telecel, Comunicacoes Pessoais, SA
188.80.0.0,188.83.255.255,262144,25/03/09,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
188.125.192.0,188.125.223.255,8192,20/07/09,NOS Madeira Comunicacoes, S.A.
188.140.0.0,188.140.127.255,32768,20/05/09,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
188.250.0.0,188.251.255.255,131072,10/02/11,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
192.199.16.0,192.199.31.255,4096,04/08/92,
193.126.0.0,193.126.255.255,65536,09/06/95,NOS COMUNICACOES, S.A.
193.136.0.0,193.136.255.255,65536,01/09/93,Fundacao para a Ciencia e a Tecnologia, I.P.
193.137.0.0,193.137.255.255,65536,02/11/95,Fundacao para a Ciencia e a Tecnologia, I.P.
193.236.0.0,193.236.255.255,65536,15/03/95,Fundacao para a Ciencia e a Tecnologia, I.P.
194.38.128.0,194.38.159.255,8192,18/06/96,ONITELECOM - INFOCOMUNICACOES, SA
194.65.0.0,194.65.31.255,8192,13/04/94,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
194.65.32.0,194.65.63.255,8192,29/09/95,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
194.65.64.0,194.65.127.255,16384,15/05/96,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
194.65.128.0,194.65.255.255,32768,15/05/96,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
194.79.64.0,194.79.95.255,8192,28/11/95,NOS COMUNICACOES, S.A.
194.117.0.0,194.117.31.255,8192,06/12/94,Fundacao para a Ciencia e a Tecnologia, I.P.
194.117.32.0,194.117.47.255,4096,06/12/94,Fundacao para a Ciencia e a Tecnologia, I.P.
194.210.0.0,194.210.255.255,65536,02/11/95,Fundacao para a Ciencia e a Tecnologia, I.P.
195.8.0.0,195.8.31.255,8192,22/04/96,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
195.22.0.0,195.22.31.255,8192,30/07/96,Claranet Portugal Telecomunicacoes S.A.
195.23.0.0,195.23.255.255,65536,01/11/96,NOS COMUNICACOES, S.A.
195.138.0.0,195.138.31.255,8192,27/08/96,SIBS Forward Payment Solutions, S.A.
195.245.128.0,195.245.191.255,16384,18/03/99,ONITELECOM - INFOCOMUNICACOES, S.A.
212.0.160.0,212.0.191.255,8192,27/08/03,NOS COMUNICACOES, S.A.
212.13.32.0,212.13.63.255,8192,02/03/99,G9SA, Telecomunicacoes, S.A
212.18.160.0,212.18.191.255,8192,29/03/99,Vodafone Telecel, Comunicacoes Pessoais, SA
212.55.128.0,212.55.191.255,16384,02/06/98,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
212.57.64.0,212.57.95.255,8192,02/06/08,G9SA, Telecomunicacoes, S.A
212.113.160.0,212.113.191.255,8192,06/08/99,NOS COMUNICACOES, S.A.
213.13.0.0,213.13.255.255,65536,24/12/99,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
213.22.0.0,213.22.255.255,65536,28/10/99,NOS COMUNICACOES, S.A.
213.30.0.0,213.30.127.255,32768,08/11/99,Vodafone Telecel, Comunicacoes Pessoais, SA
213.58.0.0,213.58.255.255,65536,22/10/99,ONITELECOM - INFOCOMUNICACOES, S.A.
213.63.0.0,213.63.127.255,32768,29/03/00,AR TELECOM - Acessos e Redes de Telecomunicacoes, S.A.
213.63.128.0,213.63.255.255,32768,14/04/00,AR TELECOM - Acessos e Redes de Telecomunicacoes, S.A.
213.138.224.0,213.138.255.255,8192,21/11/02,NOS Madeira Comunicacoes, S.A.
213.141.0.0,213.141.31.255,8192,31/12/99,AR TELECOM - Acessos e Redes de Telecomunicacoes, S.A.
213.146.192.0,213.146.223.255,8192,18/04/00,ONITELECOM - INFOCOMUNICACOES, SA
213.190.192.0,213.190.223.255,8192,28/04/00,NOS Madeira Comunicacoes, S.A.
213.205.64.0,213.205.95.255,8192,28/11/00,NOS COMUNICACOES, S.A.
213.228.128.0,213.228.159.255,8192,10/04/00,Cabovisao, televisao por cabovisao, sa
213.228.160.0,213.228.191.255,8192,16/01/01,Cabovisao, televisao por cabovisao, sa
217.70.64.0,217.70.79.255,4096,20/11/00,NOS COMUNICACOES, S.A.
217.129.0.0,217.129.255.255,65536,16/01/01,Cabovisao, televisao por cabovisao, sa
217.168.112.0,217.168.127.255,4096,19/07/04,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.

